,sentimen,text
18,Positive,|@JKFC23456789: Terlihat @sandiuno Cawapres Tak Berkualitas.\n\n"Dalam Hukum Tak kenal dgn Byk Pengikut"\n\nAnda @sandiuno Belajarlah yg Byk.\xe2\x80\xa6|
19,Positive,"|@reivaboy @duhmnas3 @DivHumas_Polri @BareskrimPolri @LembagaF @anna_suezann Hihihi..iyaa, maaf diterima \xf0\x9f\x99\x8f\xf0\x9f\x98\x82\xf0\x9f\x98\x82|"
20,Positive,|@DivHumas_Polri @haikal_hassan @PolriMultimedia Intinya Jangan Lupa 2019 Ganti presiden No. 02 \xe2\x9c\x8c|
21,Positive,"|@muannas_alaidid: Secara pribadi tentu saya maafkan, tapi krn yg dilaporkan bukan delik aduan tapi delik biasa ujaran kebencian, saya se\xe2\x80\xa6|"
22,Positive,|@HumasPoldaJatim: Kami Hadir Dan Dekat Dengan Masyakat\n\n@DivHumas_Polri \n@PolriMultimedia \n@e100ss \n@beritajatimcom \n@jawapos \n@SINDOnew\xe2\x80\xa6|
23,Positive,|@lembagaPI: [Siaran Pers] HOAX! Tidak Benar Pati Polri Dukung Salah Satu Paslon Pilpres 2019 via @pemilihLPI https://t.co/W0rmtx83pS cc\xe2\x80\xa6|
24,Positive,"|RT @richadmustova: @WajahMuslim17 @D1x174nX1 Tolong dong min @DivHumas_Polri , masa Polisi2 Muslim gx ada satu pun yg terpanggil hatiny utk\xe2\x80\xa6|"
25,Neutral,|@DivHumas_Polri: Jenazah Pilot Lion Air JT610 Berhasil Teridentifikasi\n\n#PolriPromoter #PolriHumanis #ThinkBeforePosting @PolriMultimedi\xe2\x80\xa6|
26,Neutral,"|@DivHumas_Polri: Tak Bayar Pajak Tahunan, Polisi Berwenang Tilang dan Sita Kendaraan \n\nSelengkapnya \xe2\xac\x87\xef\xb8\x8f\nhttps://t.co/Pyp1GK8EPm\n\n#Korlant\xe2\x80\xa6|"
27,Neutral,|@DivHumas_Polri: 16 Jenazah Korban Lio Air JT610 Teridentifikasi\n\nBerikut identitas jenazah Lion Air JT610 yang baru teridentifikasi :\xe2\x80\xa6|
28,Neutral,|@BANGJAR14680450 @Fadlu0407Fadlu @DivHumas_Polri Saya bayar sama kaya yg tertera di stnk tuh?|
29,Neutral,"|Sblum tambah merepotkan aparat,lebih baik kepolisian @DivHumas_Polri melarang/membatasi kegiatan itu!!! https://t.co/hRR9fI8n6Z|"
30,Neutral,|@Jhonnymangmail1: @chicohakim @Airin_NZ @DivHumas_Polri Nah itu dia kok bisa Seenaknya ya team mereka maling  cukup mengembalikan  seles\xe2\x80\xa6|
31,Neutral,|hoax laporan|
32,Neutral,"|@chicohakim: Kalau maling ayam, mengembalikan ayam, juga akan dihentikan proses hukumnya Pak @DivHumas_Polri ? Ini pertanyaan serius...|"
33,Neutral,|@KoRnHurry: Tolong Viral kan ! \n\nPemilik akun ini rela di Bui untuk memenggal leher KH.Muwafiq\n\nCc. @DivHumas_Polri @BSSN_RI @bareskrim2\xe2\x80\xa6|
34,Neutral,|@agungputra_LNG: @WajahMuslim17 @HAhmadCharlesS1 Share detail oknum ini mba..semoga bisa dilacak  @DivHumas_Polri|
35,Neutral,"|@DivHumas_Polri: Tak Bayar Pajak Tahunan, Polisi Berwenang Tilang dan Sita Kendaraan \n\nSelengkapnya \xe2\xac\x87\xef\xb8\x8f\nhttps://t.co/Pyp1GK8EPm\n\n#Korlant\xe2\x80\xa6|"
36,Neutral,|@newsjundi: @DivHumas_Polri @haikal_hassan @PolriMultimedia maaf komndan @DivHumas_Polri bukn 40 ribu...tp 10 juta lebih..tanyakn saja k\xe2\x80\xa6|
37,Neutral,"|@DivHumas_Polri @haikal_hassan @PolriMultimedia Cuman 2 orang ko pak yg hadir,, kok di tambah2in... Banyak lagi nambahinya?"
38,Neutral,"|@DivHumas_Polri @haikal_hassan @PolriMultimedia Mungkin yang dimaksud 40rb peserta itu TNI POLRI,  tapi gak apalah\xe2\x80\xa6 https://t.co/ayLs8cT64U|"
39,Neutral,|@Dennysiregar7 @DivHumas_Polri yaelah masih besaran jumlah konser kpop papan atas..yg sekali konser bisa sampe 45K -55K\xf0\x9f\x98\x86|
40,Neutral,|@DivHumas_Polri @haikal_hassan @PolriMultimedia Pakai ilmu statistika terapan dikit napeh..?\nMasa bejibun begitu di\xe2\x80\xa6 https://t.co/ToRKaSS4Eb|
41,Neutral,|@DivHumas_Polri @PolriMultimedia Boleh tau gak metode ataupun teknik penghitungan jumlah orang yang disebutkan?|
42,Neutral,|dibahas|
43,Neutral,|@sifusiuss @LAPOR1708 @TMCPoldaMetro @DivHumas_Polri @netmediatama Kejadian kapan ya mba?|
44,Neutral,|RT @humaira979: Si @VeronicaKoman kapan giliran nya pak @DivHumas_Polri ?? https://t.co/kS8huDew6O|
45,Neutral,|@Diezpung1: Ntah Karena Video Sy Soal Bib Bahar.Atau Video Pak @prabowo Soal Ucapn S.A.W Yg  Sy Posting D Group Oposisi Td Dapat Inbox A\xe2\x80\xa6|
46,Neutral,|@abdullahhaidir1 Cc @DivHumas_Polri  polri pengayom masyarakat. \n\n#ReuniAkbar212diMonas #ReuniAkbar212|
47,Neutral,"|@DivHumas_Polri: Polri Jaga Persatuan dan Kesatuan Bangsa\n\nKapolri, Jenderal Polisi Prof. H. Muhammad Tito Karnavian, Ph.D. Menghadiri A\xe2\x80\xa6|"
48,Neutral,|@DivHumas_Polri @haikal_hassan @PolriMultimedia Allah maha tau...|
49,Neutral,|@DivHumas_Polri: Jiwa Raga TNI-Polri untuk NKRI\n\nTNI-Polri Kawan Agenda Nasional Pada Tahun Politik\n\n#PolriHumanis #PolriPromoter #TNIPo\xe2\x80\xa6|
50,Neutral,|RT @Diezpung1: Ntah Karena Video Sy Soal Bib Bahar.Atau Video Pak @prabowo Soal Ucapn S.A.W Yg  Sy Posting D Group Oposisi Td Dapat Inbox A\xe2\x80\xa6|
51,Neutral,"|@Patiunus14 @JsRachman @CNNIndonesia @DivHumas_Polri Justru, presidenku tdnya gak mau bw agama ke ranah politik, tp\xe2\x80\xa6 https://t.co/oHdbI2a3OB|"
52,Neutral,"|RT @DivHumas_Polri: Polri Jaga Persatuan dan Kesatuan Bangsa\n\nKapolri, Jenderal Polisi Prof. H. Muhammad Tito Karnavian, Ph.D. Menghadiri A\xe2\x80\xa6|"
53,Neutral,"|@DivHumas_Polri: Tak Bayar Pajak Tahunan, Polisi Berwenang Tilang dan Sita Kendaraan \n\nSelengkapnya \xe2\xac\x87\xef\xb8\x8f\nhttps://t.co/Pyp1GK8EPm\n\n#Korlant\xe2\x80\xa6|"
54,Neutral,|@HumasPoldaJatim: Kami Hadir Dan Dekat Dengan Masyakat\n\n@DivHumas_Polri \n@PolriMultimedia \n@e100ss \n@beritajatimcom \n@jawapos \n@SINDOnew\xe2\x80\xa6|
55,Neutral,|bagaimana menurut @KemenkesRI tentang kesehatan dan keselamatan pada murid2 sekolah dibawah naungan @Kemdikbud_RI\xe2\x80\xa6 https://t.co/CFuQRArBNF|
56,Neutral,|@HumasPoldaJatim: Kami Hadir Dan Dekat Dengan Masyakat\n\n@DivHumas_Polri \n@PolriMultimedia \n@e100ss \n@beritajatimcom \n@jawapos \n@SINDOnew\xe2\x80\xa6|
57,Neutral,|RT @MommieZyud: @DivHumas_Polri @PolriMultimedia Bisa di update info progress laporan hoax dari pihak oposisi Min?|
58,Neutral,|Di dalam hati mereka tersimpan aspirasi serta harapan!! @DivHumas_Polri @HumasMetroJaya @Puspen_TNI @tni_ad\xe2\x80\xa6 https://t.co/1V2h7wmzQq|
59,Neutral,"|@DivHumas_Polri: Polri Jaga Persatuan dan Kesatuan Bangsa\n\nKapolri, Jenderal Polisi Prof. H. Muhammad Tito Karnavian, Ph.D. Menghadiri A\xe2\x80\xa6|"
60,Neutral,|apakah kamu membagikan #lelucon #kutipan #musik #foto atau #berita #artikel di #Facebook atau #Twitter?|
61,Neutral,|Selamat malam #Twitter dan #TheLegionoftheFallen.  5:45am subuh!|
62,Neutral,|Saya baru saja menyelesasikan lari sejauh 2.66 mi dengan Nike+ GPS. #nikeplus #makeitcount|
63,Neutral,"|@riaupubliku21: @KPK_RI @mabespolri_ @DivHumas_Polri DPW PB-LBMN, Supian Susanto: Usut Anak Walikota LUTFI Diduga Otak Pengaturan Proyek\xe2\x80\xa6|"
64,Neutral,|@DivHumas_Polri: Selamat Atas Dilantiknya Letnan Jenderal TNI Andika Perkasa Sebagai Kepala Staf TNI Angkatan Darat\n\n#TniPolriSolid #Pol\xe2\x80\xa6|
65,Neutral,|Innalilahi Wa Inna ilaihi Raji'un. Benarkah smua ini? @DivHumas_Polri @kompolnas_ri https://t.co/7HSu463TW0|
66,Neutral,"|'@hnurwahid @rdhtk SIM itu kan bukti ketrampilan (kompetensi) jd hrs dibatasi waktu penggunaannya, sebab pengendara\xe2\x80\xa6 https://t.co/wQnZUjpsBu|"
67,Negative,|Hari yang mengecewakan. Menghadiri pameran mobil untuk mencari pendanaan  harganya malah lebih mahal|
68,Negative,|Tidak ada lagi bom mobil Irish dengan orang Australia yang bisa minum seperti rockstars... kepala saya sakit.|
69,Negative,|Baru saja terluka. Tangan ku sakit|
70,Negative,"|@ferisurya15 @JsRachman @CNNIndonesia @DivHumas_Polri gk usah ngeles, kenyataannya skrg?|"
71,Negative,|@INTANHambaAllah @jokowi @DivHumas_Polri @fadlizon Yg menghina prabowo asu dianggap suatu yg egaliter.tunggu saja s\xe2\x80\xa6 https://t.co/75QZ7tGFNf|
72,Negative,|@AnakLolina @DivHumas_Polri Macan betul aja Tuhannya bisa diajak negosiasi hadeeh..\nAhli taurat dan imam farisi sel\xe2\x80\xa6 https://t.co/CoRS19wnjT|
73,Negative,|@Semut_Ibrahim_ Coba hub @DivHumas_Polri barangkali butuh sewa @GPAnsor_Satu buat ngadepin mereka|
74,Negative,|Hoax lagi...hoax lagi...|
75,Negative,|Terdeteksi Namanya  sisca rumondor. Suaminya alex rumondor. Non muslim. Nyaru pake jilbab \nex SMA 37 Jkt angk 86. Fikom Unpad\xe2\x80\xa6|
76,Negative,|@DivHumas_Polri @BareskrimPolri @LembagaF @anna_suezann Astaghfirlloh ini orang dibayar berapa\xe2\x80\xa6|
77,Negative,b'RT @duhmnas3: Terdeteksi Namanya  sisca rumondor. Suaminya alex rumondor. Non muslim. Nyaru pake jilbab \nex SMA 37 Jkt angk 86. Fikom Unpad\xe2\x80\xa6'
78,Negative,b'@DivHumas_Polri yang bener yang mana pak? Kalo dua tahun kemaren jutaan sekarang puluhan ribu? https://t.co/mfCAMetIGj'
79,Negative,|@CLB_IDF @DivHumas_Polri Iyain aja drpd di katakan mau makar|
80,Negative,|@amrullah_sk: Sebar dan VIRAL kan\n\nKAPITRA  bilang  Jamaah  Reuni 212  dapat  uang saku 100 ribu per kepala\n\ngemes  bener  sama manusia\xe2\x80\xa6|
81,Negative,|@EL_Atheos @DivHumas_Polri @PolresBekasi @pemkotbekasi @ridwankamil Hanya satu gerombolan yg suka bikin onar|
82,Negative,|@MCAOps wiwiwiiiwii..diem2 bae.. @jokowi  @DivHumas_Polri sama saja..mana hukum yg adil tuh?\ndi bayar berapa polda\xe2\x80\xa6 https://t.co/HjX2oxV51U|
83,Negative,|@DivHumas_Polri @haikal_hassan @PolriMultimedia Hoax lagi...hoax lagi...|
84,Negative,|@AnakLolina @DivHumas_Polri Macan betul aja Tuhannya bisa diajak negosiasi hadeeh..\nAhli taurat dan imam farisi sel\xe2\x80\xa6 https://t.co/CoRS19wnjT|
85,Negative,"|Alhamdulillah! \nTpi kayaknya pesimis responnya aparat, min \xf0\x9f\x98\x89\n@AntoniRaja @DivHumas_Polri https://t.co/0fr4bJyIXY|"
86,Negative,|@amrullah_sk: Sebar dan VIRAL kan\n\nKAPITRA  bilang  Jamaah  Reuni 212  dapat  uang saku 100 ribu per kepala\n\ngemes  bener  sama manusia\xe2\x80\xa6|
87,Negative,"Ini penistaan agama sesungguhnya, mohon ditindak sesuai hukum yang berlaku yaaa\xf0\x9f\x99\x8f\n@bareskrim2018 \n@BareskrimPolri\xe2\x80\xa6 https://t.co/7FTB3ZTfSk|"
88,Negative,|@duhmnas3 @SukaBasaBasi @DivHumas_Polri @BareskrimPolri @LembagaF @anna_suezann Kecebong betina|
89,Negative,"|RT @akhmadd82: @DivHumas_Polri @haikal_hassan @PolriMultimedia gimana sih jumlah pengamanan 50 rb, peserta 40 rb, ahhhh saya tau pasti apar\xe2\x80\xa6|"
90,Negative,|Demo jalan wanaherang (marcedes benz) gunung putri kab bogor. Bupati sama kepala desanya korupsi siap siap digantun\xe2\x80\xa6 https://t.co/LBk7NPBMGb|
91,Negative,|@Dennysiregar7: Ah @DivHumas_Polri gimana sih ? Jangan menghancurkan angan2 mereka dong. Itu kayak dibanting rasanya.. https://t.co/jo0n\xe2\x80\xa6|
92,Negative,|@Minang_cyber @bara_pas Orang ini telah menjual agama Islam padahal dia non muslim.  Dengan menyamar menjadi seoran\xe2\x80\xa6 https://t.co/WkpMWOEeOe|
93,Negative,|@Dennysiregar7: Ah @DivHumas_Polri gimana sih ? Jangan menghancurkan angan2 mereka dong. Itu kayak dibanting rasanya.. https://t.co/jo0n\xe2\x80\xa6|
94,Negative,|@Ardhan_syahil: Bahar habib geblek ini malah menantang @DivHumas_Polri tolong ditindak lanjuti orang ini dan tegakan hukum pada siapa sa\xe2\x80\xa6|
95,Negative,|@Biawak_Buas: Kesabaran pak jokowi ada batasnya dia merasa kesal sama orng orng yang selama ini menuduh nya pki bahkan ingin sekali mena\xe2\x80\xa6|
96,Neutral,|@GusNadjib @rich146754 @Ghaussada @triwul82 @yusuf_dumdum @HabibNdeso @fariji_lacak @zoelfick @SalmaBrecht @3mtr1\xe2\x80\xa6 https://t.co/kiH6LrPyZr|
97,Positive,|@DivHumas_Polri: Polri Peduli Pendidikan Hingga Tanah Papua\n\n\xe2\x80\x9cPolisi Pi Ajar\xe2\x80\x9d Satgas Binmas Noken di Timika Papua\n\nDi Lapangan Gereja Di\xe2\x80\xa6|
98,Negative,|@PipitBdg02 @Ghoz4ly @DivHumas_Polri Kaga mau klo cm materai 6000|
99,Neutral,|Apakah ini termasuk sebagai ujaran kebencian? @DivHumas_Polri #KoalisiPraBohong #KoalisiOtoriter #2019PilihJokowi\xe2\x80\xa6 https://t.co/V1Jw5fYJZa|
100,Neutral,"|Masih ada yang begini, cc @ojkindonesia @DivHumas_Polri @RESKRIMPOLRI\n\nhttps://t.co/Bp0P78Z21y|"
101,Neutral,|@Bram_Bank007 @Ghoz4ly Biar @DivHumas_Polri Yang Menangani|
102,Negative,|@FRONTBELAISLAM @DivHumas_Polri Kasihan polisi rezim jkw tak berdaya tegakkan hukum scr adil. Kubu petahana spt pik\xe2\x80\xa6 https://t.co/uO40VHcPUC|
103,Neutral,|@SammyAreta @mawar_merah2011 @sisca789 @iqbal2122 @FelixSandian @SpionaseNKRI @ely_susianti @tuan_hari\xe2\x80\xa6 https://t.co/AWf0pPxrdx|
104,Neutral,|@DivHumas_Polri https://t.co/PvMyTqpt9o\n\nSelisih 25 ribu rupiah ini masuk dalam biaya apa ? \xf0\x9f\xa4\x94|
105,Neutral,|@apelo13780494 @rich146754 @Ghaussada @triwul82 @yusuf_dumdum @HabibNdeso @fariji_lacak @zoelfick @SalmaBrecht\xe2\x80\xa6 https://t.co/PEnWMmnWwo|
106,Negative,|@KoRnHurry: _SUGIK NUR TERSANGKA_\nhttps://t.co/23d6Gtf8Uh\n\nOrang ini menuduh 3 Pihak dibalik itu :\n\n1. BANSER \n\n2. Rezim @jokowi Berhian\xe2\x80\xa6|
107,Neutral,|@KoRnHurry @jokowi @DivHumas_Polri @wiranto1947 @ruhutsitompul @GunRomli Dia dedengkot @PKSejahtera HTI|
108,Neutral,|@antonmilanisti @mawar_merah2011 @sisca789 @iqbal2122 @FelixSandian @SpionaseNKRI @ely_susianti @tuan_hari\xe2\x80\xa6 https://t.co/nQAtfx5Gfb|
109,Neutral,|@FRONTBELAISLAM @trisnahermana @DivHumas_Polri Astaghfirullah. Pakaiannya model Presiden Palestina almarhum Yasser\xe2\x80\xa6 https://t.co/kKzrLHy6AK|
110,Neutral,|@DivHumas_Polri: Bhakti Kesehatan Polri di Kampung Arab Manado\n\n#PolriPromoter #PolriHumanis #ThinkBeforePosting @PolriMultimedia https:\xe2\x80\xa6|
111,Neutral,|@GusNadjib @rich146754 @Ghaussada @triwul82 @yusuf_dumdum @HabibNdeso @fariji_lacak @zoelfick @SalmaBrecht @3mtr1\xe2\x80\xa6 https://t.co/Fdh4XxbTeK|
112,Positive,|@HumasPoldaJatim: Kami Hadir Dan Dekat Dengan Masyakat\n\n@DivHumas_Polri \n@PolriMultimedia \n@e100ss \n@beritajatimcom \n@jawapos \n@SINDOnew\xe2\x80\xa6|
113,Neutral,|@apelo13780494 @rich146754 @Ghaussada @triwul82 @yusuf_dumdum @HabibNdeso @fariji_lacak @zoelfick @SalmaBrecht\xe2\x80\xa6 https://t.co/zS29Ms82y2|
114,Neutral,|@apelo13780494 @rich146754 @Ghaussada @triwul82 @yusuf_dumdum @HabibNdeso @fariji_lacak @zoelfick @SalmaBrecht\xe2\x80\xa6 https://t.co/HNMt5K9IIP|
115,Negative,|@P3nj3l4j4h @CCICPolri @DivHumas_Polri Yang biasa memainkannya sara itu yg gerombolan kampret genderuWO|
116,Negative,|@EL_Atheos: Terjadi tindak kriminal berupa penganiayaan terhadap 2 orang Waria di Jatiasih - Bekasi. Tindakan biadab atas nama agama ser\xe2\x80\xa6|
117,Negative,|@DivHumas_Polri @HumasMetroJaya @CCICPolri @PolriMultimedia @tribratanews @BareskrimPolri \n\nAkun yg fitnah HRS\xe2\x80\xa6 https://t.co/uyGzpMmSxA|
118,Positive,|Mari kita ringankan pekerjaan pak Jokowi dgn melaporkan para pemfitnah ke @DivHumas_Polri supaya mereka bisa mempro\xe2\x80\xa6 https://t.co/YZzooxc4d6|
119,Neutral,"|@Airin_NZ: Baru mentersangkakan kawan dekat Prabowo saja, Mapolres sudah kebanjiran karangan bunga.\n\nKebayang gk jika nanti, @DivHumas_P\xe2\x80\xa6|"
120,Neutral,@P3nj3l4j4h: \xf0\x9f\x91\x8d good job @CCICPolri @DivHumas_Polri \n\nMasih berani sebar hoax? \xf0\x9f\xa4\xa7\n\nhttps://t.co/D3AwdZMGMU|
121,Neutral,|@GusNadjib @rich146754 @Ghaussada @triwul82 @yusuf_dumdum @HabibNdeso @fariji_lacak @zoelfick @SalmaBrecht @3mtr1\xe2\x80\xa6 https://t.co/3nPHIYpaFl|
122,Neutral,"|@Airin_NZ: Baru mentersangkakan kawan dekat Prabowo saja, Mapolres sudah kebanjiran karangan bunga.\n\nKebayang gk jika nanti, @DivHumas_P\xe2\x80\xa6|"
123,Neutral,|@SammyAreta @mawar_merah2011 @sisca789 @iqbal2122 @FelixSandian @SpionaseNKRI @ely_susianti @tuan_hari\xe2\x80\xa6 https://t.co/oKpx8i3iBs|
124,Neutral,|@DivHumas_Polri: Jenazah Pilot Lion Air JT610 Berhasil Teridentifikasi\n\n#PolriPromoter #PolriHumanis #ThinkBeforePosting @PolriMultimedi\xe2\x80\xa6|
125,Neutral,|@apelo13780494 @rich146754 @Ghaussada @triwul82 @yusuf_dumdum @HabibNdeso @fariji_lacak @zoelfick @SalmaBrecht\xe2\x80\xa6 https://t.co/JQbFXvyCSG|
126,Neutral,|@DivHumas_Polri: 16 Jenazah Korban Lio Air JT610 Teridentifikasi\n\nBerikut identitas jenazah Lion Air JT610 yang baru teridentifikasi :\xe2\x80\xa6|
127,Neutral,@apelo13780494 @rich146754 @Ghaussada @triwul82 @yusuf_dumdum @HabibNdeso @fariji_lacak @zoelfick @SalmaBrecht\xe2\x80\xa6 https://t.co/V4lFK4GFy8|
128,Neutral,|@GusNadjib @rich146754 @Ghaussada @triwul82 @yusuf_dumdum @HabibNdeso @fariji_lacak @zoelfick @SalmaBrecht @3mtr1\xe2\x80\xa6 https://t.co/bIl60DxCNZ|
129,Neutral,"|@Airin_NZ: Baru mentersangkakan kawan dekat Prabowo saja, Mapolres sudah kebanjiran karangan bunga.\n\nKebayang gk jika nanti, @DivHumas_P\xe2\x80\xa6|"
130,Negative,|@DivHumas_Polri @PolriMultimedia Typo janban ** mungkin jangan y min ?|
131,Neutral,|@DivHumas_Polri @PolriMultimedia *jangan|
132,Negative,"|@AdhiIbnuAli: Gimana nih @DivHumas_Polri begitu cepat kerja anda untuk orang2 yg bersebrangan,  sementara kasus seperti si Ade Armando,\xe2\x80\xa6|"
133,Neutral,|Nih Pak @DivHumas_Polri Kira2 Bang @Dahnilanzar mau diperiksa lagi?  Pak Imam Nahrowi bilang kegiatan itu tak ada y\xe2\x80\xa6 https://t.co/gkOyj7Dgva|
134,Negative,|@yusuf_dumdum @DivHumas_Polri Dasar kaum kemenyan kebanyakn mitos|
135,Positive,|@PolresJayapura @tribratanews @HmsPoldaPapua @DivHumas_Polri Mantap|
136,Neutral,|@agungwirawan100: Ayo viralkan..\nBiar dia jd Artis Prodeo\xf0\x9f\x98\x82\n@DivHumas_Polri https://t.co/ksC7l56n9e|
137,Negative,|@Biewidd: @LingWinata81 @DivHumas_Polri @RTMCPoldaJateng @bawaslu_RI @bawaslu_jateng @jokowi @Gerindra Tenggelam kan caleg seperti ini..\xe2\x80\xa6|
138,Neutral,|Giat bapak Kapolda NTB di Sat Brimob Polda NTB sebagai narasumber pada latihan pemantapan nilai -nilai wawasan keba\xe2\x80\xa6 https://t.co/NsKHpAZAyK|
139,Negative,"|RT @mdariusdah: Selamat Pagi Pak @DivHumas_Polri ...\nTolong jangan berat sebelah jika bertindak...\nBerlakulah  yg Adil, maka Penduduk Indon\xe2\x80\xa6|"
140,Positive,"|@MusfarB: Alhamdulilah brkat bntuan Rekan2,bwa mrka br2 sdh plg krmh msing2,sy mngucapkan byk2 trimakasih kpda yg trlibat utk kplgn mrka\xe2\x80\xa6|"
141,Negative,|@Airin_NZ @DivHumas_Polri karena mereka takut ama kelompok mereka(zonk and the geng)|
142,Negative,|@maspiyuuu Pakde yg ada di @DivHumas_Polri baca noh! Ga malu apa orang salah di biarin kabur ? Org ga salah malah d\xe2\x80\xa6 https://t.co/WJfwv9hwdJ|
143,Negative,|Pembantaian Papua adalah Terorisme\n\n@jokowi @prabowo @BIN_Official @PolhukamRI @wiranto1947 @Kemhan_RI @ryamizard_r\xe2\x80\xa6 https://t.co/WD9p28tk9Z|
144,Neutral,|@MahesaTiwi @CCICPolri @BNPTRI @DivHumas_Polri @aduankonten @BareskrimPolri @Kania_Sari27 @projopusat @_SEKNAS_RI\xe2\x80\xa6 https://t.co/R2wlhCwxDQ|
145,Negative,|@MahesaTiwi: Wah bani kampret makin kurang ajar ini melakukan penghinaan. Viralkan gaes biar pelakunya ketangkap! Cyduk pak ga pake lemo\xe2\x80\xa6|
146,Negative,|@alfrendoasis: Apa yang di maksud orang tsb? Kalo anda mau perang bilang aja. Astaga kibarkan bendera tauhid = perang ! Viralkan orang t\xe2\x80\xa6|
147,Negative,"|@Airin_NZ: Saya terkadang bingung dgn @DivHumas_Polri kenapa soal kasus Ahok begitu cepat..\n\nTapi soal kasus Ratna Sarumpaet, Buni Yani,\xe2\x80\xa6|"
148,Neutral,|@DivHumas_Polri: Kapolda Jatim Hadiri Maulid Nabi Muhammad di Kodam V Brawijaya\n\n#PolriPromoter #PolriHumanis @PolriMultimedia https://t\xe2\x80\xa6|
149,Negative,"|@FaGtng: Ini Biadab !!!\nWajah pas - pasan , beraninya menghina, mengejek dan memfitnah Presiden RI.\n\nSaya mohon dengan 10 jari tersusun\xf0\x9f\x99\x8f\xe2\x80\xa6|"
150,Negative,|@NurSyahbana9: Kenapa Nahdhatul ulama terus menerus di fitnah? Supaya  NKRI rapuh dan hancur\n\nKarena Nahdhatul ulama adalah salah satu d\xe2\x80\xa6|
151,Negative,"|@haikal_hassan Dihina dan dicemooh dunia bernalar normal karena 212 membawa konotasi permusuhan, teror dan polituk\xe2\x80\xa6 https://t.co/etjrDN7AtH|"
152,Neutral,|@temponasional @tempodotco @BIN_Official \n@tni_ad \n@_TNIAU \n@Puspen_TNI \n@DivHumas_Polri \n@Kemenkumham_RI\xe2\x80\xa6 https://t.co/tuB2P1cYaR|
